loan_id,customer_id,loan_category,loan_amount,interest_rate,tenure_months,start_date,status,loan_outlier
LOAN000001,CUST00213,Business Loan,4231363.24,16.53,48,2021-02-08,Defaulted,False
LOAN000002,CUST00052,Education Loan,1563884.07,12.47,36,2022-10-14,Active,False
LOAN000003,CUST00005,Education Loan,1360167.94,15.56,36,2022-06-15,Defaulted,False
LOAN000004,CUST00159,Business Loan,601828.98,13.22,36,2025-03-19,Active,False
LOAN000005,CUST00091,Education Loan,3493398.63,8.25,84,2021-08-27,Closed,False
LOAN000006,CUST00114,Personal Loan,2013945.86,18.15,84,2020-09-05,Closed,False
LOAN000007,CUST00057,Personal Loan,4139363.47,12.47,48,2023-08-16,Active,False
LOAN000008,CUST00124,Car Loan,1264491.1,10.06,12,2023-10-22,Closed,False
LOAN000009,CUST00148,Car Loan,4197757.06,16.67,120,2023-06-06,Active,False
LOAN000010,CUST00061,Personal Loan,4448590.5,9.66,84,2021-05-17,Defaulted,False
LOAN000011,CUST00149,Car Loan,1634765.88,16.43,48,2025-05-04,Closed,False
LOAN000012,CUST00059,Business Loan,687385.14,12.92,24,2022-11-30,Closed,False
LOAN000013,CUST00215,Business Loan,3614525.92,9.19,60,2021-10-21,Closed,False
LOAN000014,CUST00115,Education Loan,313347.2,18.45,12,2024-02-21,Closed,False
LOAN000015,CUST00065,Car Loan,2817030.41,10.75,60,2023-03-06,Closed,False
LOAN000016,CUST00056,Business Loan,4739388.08,15.67,36,2023-06-06,Active,False
LOAN000017,CUST00037,Personal Loan,3325914.1,13.34,240,2021-02-25,Active,False
LOAN000018,CUST00031,Home Loan,3843186.24,7.14,84,2020-10-03,Closed,False
LOAN000019,CUST00199,Education Loan,3884373.56,15.29,48,2023-09-10,Closed,False
LOAN000020,CUST00147,Business Loan,3806163.97,10.48,24,2022-07-14,Active,False
LOAN000021,CUST00025,Education Loan,3519596.6,8.16,84,2023-01-17,Closed,False
LOAN000022,CUST00059,Personal Loan,1590417.15,8.71,120,2022-03-04,Closed,False
LOAN000023,CUST00016,Education Loan,1788443.39,12.79,12,2022-11-05,Closed,False
LOAN000024,CUST00002,Car Loan,4910950.11,12.47,240,2020-10-19,Active,False
LOAN000025,CUST00159,Personal Loan,1667955.33,17.97,48,2025-03-28,Active,False
LOAN000026,CUST00046,Home Loan,2516096.72,17.45,84,2025-08-18,Closed,False
LOAN000027,CUST00160,Car Loan,4462611.99,16.27,180,2021-07-28,Active,False
LOAN000028,CUST00090,Home Loan,241932.69,10.24,60,2023-12-01,Active,False
LOAN000029,CUST00169,Home Loan,3431008.66,13.74,84,2022-11-09,Active,False
LOAN000030,CUST00037,Home Loan,2762503.15,7.29,48,2025-05-09,Defaulted,False
LOAN000031,CUST00208,Education Loan,1235284.21,12.47,12,2022-06-03,Active,False
LOAN000032,CUST00145,Home Loan,4225826.77,7.59,84,2024-06-05,Closed,False
LOAN000033,CUST00196,Business Loan,2896679.62,9.89,36,2022-07-18,Active,False
LOAN000034,CUST00083,Education Loan,1030305.5,12.39,180,2023-06-05,Active,False
LOAN000035,CUST00049,Personal Loan,2828202.31,14.89,240,2022-12-15,Active,False
LOAN000036,CUST00008,Business Loan,4736560.28,10.26,12,2022-05-27,Closed,False
LOAN000037,CUST00131,Business Loan,283677.37,12.47,120,2025-08-13,Active,False
LOAN000038,CUST00183,Home Loan,2643722.97,7.68,36,2024-01-12,Closed,False
LOAN000039,CUST00177,Home Loan,1635537.1,12.47,120,2021-12-28,Closed,False
LOAN000040,CUST00215,Personal Loan,625838.58,18.35,48,2024-06-17,Defaulted,False
LOAN000041,CUST00168,Personal Loan,2039695.73,11.57,60,2022-08-21,Closed,False
LOAN000042,CUST00065,Education Loan,3696336.16,11.03,48,2024-05-11,Active,False
LOAN000043,CUST00030,Education Loan,3020641.65,14.77,24,2023-10-21,Active,False
LOAN000044,CUST00184,Car Loan,620628.09,8.51,60,2021-12-05,Active,False
LOAN000045,CUST00211,Personal Loan,4656565.63,9.64,24,2024-09-28,Active,False
LOAN000046,CUST00123,Business Loan,4433718.19,12.72,12,2021-06-19,Active,False
LOAN000047,CUST00112,Car Loan,591252.28,14.82,24,2024-11-19,Closed,False
LOAN000048,CUST00186,Home Loan,3095838.09,12.54,48,2022-03-18,Closed,False
LOAN000049,CUST00119,Personal Loan,1623710.49,9.51,36,2024-07-29,Defaulted,False
LOAN000050,CUST00161,Car Loan,1043214.03,12.57,48,2022-03-29,Closed,False
LOAN000051,CUST00143,Education Loan,1011978.5,9.45,240,2022-03-02,Defaulted,False
LOAN000052,CUST00159,Home Loan,847435.09,11.42,240,2022-04-10,Active,False
LOAN000053,CUST00098,Home Loan,3616388.19,7.75,48,2025-07-06,Active,False
LOAN000054,CUST00140,Home Loan,66933.72,15.65,12,2024-11-02,Closed,False
LOAN000055,CUST00061,Education Loan,415923.86,13.89,180,2022-03-15,Active,False
LOAN000056,CUST00093,Education Loan,3430261.8,17.28,180,2023-01-25,Closed,False
LOAN000057,CUST00006,Education Loan,1158007.19,17.08,84,2020-11-05,Active,False
LOAN000058,CUST00033,Education Loan,2187096.11,13.0,48,2023-04-22,Active,False
LOAN000059,CUST00100,Education Loan,4208669.97,12.03,180,2022-01-20,Active,False
LOAN000060,CUST00049,Car Loan,2344409.91,8.97,48,2022-03-07,Active,False
LOAN000061,CUST00165,Personal Loan,2863513.64,13.08,120,2024-01-08,Defaulted,False
LOAN000062,CUST00052,Business Loan,1569149.97,10.1,120,2022-04-07,Active,False
LOAN000063,CUST00178,Education Loan,1125031.79,11.68,180,2021-04-04,Active,False
LOAN000064,CUST00106,Car Loan,1071943.74,13.4,48,2021-11-20,Closed,False
LOAN000065,CUST00161,Business Loan,1616628.92,17.7,240,2021-04-12,Active,False
LOAN000066,CUST00219,Home Loan,4385787.02,12.47,12,2024-04-17,Defaulted,False
LOAN000067,CUST00160,Car Loan,495237.51,10.19,24,2022-10-02,Defaulted,False
LOAN000068,CUST00206,Business Loan,4550765.75,8.6,60,2024-07-15,Active,False
LOAN000069,CUST00144,Education Loan,2831343.4,17.42,120,2024-02-03,Closed,False
LOAN000070,CUST00025,Car Loan,2783989.98,14.47,36,2021-07-09,Active,False
