transaction_id,account_id,transaction_type,amount,transaction_date,description,channel,amount_outlier
TXN0000150,ACC000076,Transfer,36105.4,2023-10-14,Nemo a excepturi.,Atm,False
TXN0000532,ACC000112,Withdrawal,9364.38,2023-06-23,Mollitia laudantium soluta.,Branch,False
TXN0000359,ACC000030,Withdrawal,4266.18,2024-11-29,Excepturi deleniti.,Atm,False
TXN0000573,ACC000228,Withdrawal,14719.8,2024-04-17,Incidunt amet beatae facilis velit.,Atm,False
TXN0000579,ACC000019,Deposit,22289.14,2024-08-04,Minus fuga officiis distinctio fugit.,Branch,False
TXN0000564,ACC000272,Withdrawal,31606.06,2023-08-01,Nulla quas deleniti.,Mobile,False
TXN0000045,ACC000226,Deposit,39743.42,2023-11-21,Sit rerum quibusdam unde.,Online,False
TXN0000566,ACC000112,Withdrawal,18826.69,2023-05-07,Pariatur inventore labore.,Online,False
TXN0000337,ACC000076,Withdrawal,39954.31,2023-06-02,Modi pariatur architecto quas temporibus.,Mobile,False
TXN0000158,ACC000217,Transfer,27992.53,2024-08-21,Sit nesciunt odio voluptatum.,Mobile,False
TXN0000167,ACC000274,Withdrawal,13820.63,2024-08-16,Suscipit dolor reprehenderit.,Atm,False
TXN0000424,ACC000155,Deposit,31888.53,2023-04-11,Pariatur ratione.,Atm,False
TXN0000398,ACC000166,Transfer,46891.42,2023-01-11,Fugit est voluptates architecto.,Branch,False
TXN0000411,ACC000245,Deposit,14470.83,2023-04-07,Est illum soluta quas at.,Online,False
TXN0000274,ACC000068,Withdrawal,14189.97,2024-07-15,Mollitia consequuntur.,Online,False
TXN0000518,ACC000111,Deposit,27096.75,2023-06-06,Nihil rem atque.,Atm,False
TXN0000272,ACC000027,Deposit,7719.84,2023-08-19,Rem fugiat id repudiandae.,Online,False
TXN0000127,ACC000154,Withdrawal,21924.04,2023-06-02,,Atm,False
TXN0000040,ACC000076,Transfer,14489.8,2023-10-10,Quae repellat a magnam fugit.,Atm,False
TXN0000580,ACC000157,Transfer,28220.62,2023-06-12,Consectetur quia.,Online,False
TXN0000420,ACC000076,Transfer,48410.84,2023-01-09,Totam autem odio aspernatur assumenda.,Atm,False
TXN0000353,ACC000073,Deposit,34150.46,2023-08-26,Debitis quaerat tempora minus.,Atm,False
TXN0000511,ACC000218,Withdrawal,24201.52,2023-03-25,Vitae dolorum.,Online,False
TXN0000180,ACC000114,Deposit,49191.4,2023-07-17,Vitae eius dignissimos.,Online,False
TXN0000203,ACC000220,Withdrawal,39765.42,2024-01-19,Dolorum perspiciatis voluptatum sapiente distinctio.,Atm,False
TXN0000126,ACC000080,Transfer,25715.74,2024-10-25,,Mobile,False
TXN0000559,ACC000243,Withdrawal,25750.57,2023-02-20,Vero recusandae.,Online,False
TXN0000427,ACC000014,Transfer,21440.69,2023-01-29,Ut labore excepturi.,Online,False
TXN0000021,ACC000155,Withdrawal,34614.51,2024-09-18,Velit sunt dolore veniam.,Atm,False
TXN0000449,ACC000174,Transfer,29180.35,2024-10-30,Vitae ipsa doloremque ea enim.,Online,False
TXN0000147,ACC000220,Transfer,7665.4,2023-08-22,Ea rerum esse in magnam.,Atm,False
TXN0000385,ACC000280,Deposit,42754.97,2023-12-22,Commodi cupiditate molestias.,Online,False
TXN0000028,ACC000113,Deposit,6911.42,2023-06-25,Enim laudantium consectetur.,Atm,False
TXN0000351,ACC000201,Withdrawal,49029.03,2024-05-27,,Mobile,False
TXN0000349,ACC000145,Deposit,13568.99,2023-12-10,Non debitis.,Branch,False
TXN0000417,ACC000046,Withdrawal,108765.785,2024-03-17,Dicta delectus veniam.,Branch,True
TXN0000030,ACC000223,Withdrawal,14030.63,2023-09-10,In illum corporis.,Atm,False
TXN0000379,ACC000048,Deposit,45841.6,2023-11-27,Quibusdam dolorem quasi.,Atm,False
TXN0000240,ACC000277,Deposit,37552.49,2023-12-17,Atque laboriosam repellat nihil numquam.,Online,False
TXN0000201,ACC000011,Deposit,12373.62,2023-09-26,Aliquam repellat vero nulla.,Online,False
TXN0000276,ACC000076,Transfer,555.71,2024-11-25,Dicta eligendi.,Atm,False
TXN0000462,ACC000173,Deposit,26671.35,2023-12-23,Laboriosam repudiandae libero provident fugiat.,Branch,False
TXN0000459,ACC000108,Withdrawal,24361.76,2024-06-17,Saepe libero iste.,Online,False
TXN0000133,ACC000276,Withdrawal,10540.55,2024-03-22,Ratione consequuntur inventore ullam.,Mobile,False
TXN0000111,ACC000132,Withdrawal,19937.98,2024-03-09,Porro assumenda laboriosam.,Online,False
TXN0000362,ACC000080,Transfer,10710.5,2024-04-10,Eum occaecati numquam vel.,Atm,False
TXN0000285,ACC000228,Deposit,2403.7,2023-10-28,Inventore odio ullam quis nesciunt.,Branch,False
TXN0000282,ACC000266,Withdrawal,108765.785,2024-06-26,Soluta aperiam corporis unde.,Atm,True
TXN0000520,ACC000166,Withdrawal,46484.4,2024-05-01,Cupiditate veniam.,Mobile,False
TXN0000114,ACC000023,Deposit,4573.43,2023-09-24,Facere ea.,Branch,False
TXN0000239,ACC000163,Deposit,29943.95,2023-12-03,Deserunt eveniet aperiam.,Branch,False
TXN0000273,ACC000243,Withdrawal,45627.58,2024-02-06,Facilis asperiores.,Branch,False
TXN0000161,ACC000074,Deposit,18636.22,2024-05-12,Quae consectetur provident sint.,Branch,False
TXN0000431,ACC000103,Withdrawal,32019.44,2023-01-07,A sit.,Atm,False
TXN0000588,ACC000032,Withdrawal,37181.21,2023-05-16,Voluptate tempora ipsum quaerat tenetur.,Mobile,False
TXN0000378,ACC000065,Withdrawal,45218.15,2023-04-12,Maxime voluptate.,Online,False
TXN0000292,ACC000179,Deposit,36443.54,2024-05-16,Officiis dignissimos tempora iste doloremque.,Online,False
TXN0000350,ACC000023,Transfer,9468.42,2023-09-04,Modi hic aspernatur.,Atm,False
TXN0000221,ACC000127,Withdrawal,10164.97,2024-02-13,Deleniti repellendus numquam repellat.,Atm,False
TXN0000358,ACC000067,Transfer,48586.86,2023-10-21,Accusamus adipisci.,Branch,False
TXN0000589,ACC000245,Withdrawal,5003.68,2024-10-11,,Atm,False
TXN0000414,ACC000076,Withdrawal,28406.61,2024-06-21,Praesentium ab cumque laudantium.,Mobile,False
TXN0000085,ACC000174,Deposit,5092.83,2024-05-29,Debitis delectus hic assumenda.,Mobile,False
TXN0000119,ACC000256,Withdrawal,26348.17,2023-06-01,Sequi soluta nobis.,Online,False
TXN0000470,ACC000180,Withdrawal,33951.55,2023-02-15,Hic consectetur quibusdam neque rem.,Online,False
TXN0000555,ACC000128,Deposit,108765.785,2024-06-28,Vero voluptatem blanditiis laudantium.,Online,True
TXN0000494,ACC000119,Deposit,31921.96,2023-07-04,Debitis nobis debitis.,Atm,False
TXN0000513,ACC000151,Deposit,43723.33,2023-05-01,Eveniet at.,Online,False
TXN0000524,ACC000006,Withdrawal,28033.72,2024-01-27,,Branch,False
TXN0000581,ACC000015,Withdrawal,6514.8,2023-09-21,,Branch,False
TXN0000002,ACC000229,Withdrawal,33672.81,2023-04-11,Ducimus harum odit.,Atm,False
TXN0000011,ACC000197,Withdrawal,38046.61,2024-07-21,Repudiandae praesentium.,Online,False
TXN0000046,ACC000274,Deposit,15915.49,2023-06-01,Temporibus ea repudiandae.,Online,False
TXN0000092,ACC000159,Transfer,11882.88,2023-01-29,Esse repellat nulla porro.,Atm,False
TXN0000088,ACC000277,Withdrawal,39803.02,2023-11-04,Distinctio aspernatur voluptatem.,Mobile,False
TXN0000482,ACC000094,Withdrawal,31578.52,2023-06-01,Quod voluptatibus perferendis at.,Online,False
TXN0000425,ACC000155,Deposit,7044.9,2024-03-02,Atque minima.,Atm,False
TXN0000172,ACC000065,Deposit,13531.07,2023-09-10,Reiciendis optio.,Atm,False
TXN0000140,ACC000253,Deposit,8747.23,2024-03-01,Tenetur ab eius minus.,Branch,False
TXN0000148,ACC000265,Withdrawal,39750.91,2023-05-30,Sapiente ea.,Online,False
TXN0000099,ACC000186,Withdrawal,45881.12,2024-01-29,Accusantium cumque corrupti praesentium.,Atm,False
TXN0000082,ACC000183,Transfer,38283.18,2024-03-14,Totam maiores.,Online,False
TXN0000291,ACC000114,Transfer,7401.85,2023-04-11,Quaerat libero eaque id.,Atm,False
TXN0000368,ACC000065,Transfer,20378.69,2024-04-06,,Online,False
TXN0000341,ACC000179,Withdrawal,18183.68,2023-04-23,Odit perferendis.,Branch,False
TXN0000300,ACC000027,Transfer,45199.55,2023-05-17,Facere assumenda.,Branch,False
TXN0000086,ACC000136,Deposit,31808.67,2024-07-02,Et quam quidem.,Atm,False
TXN0000138,ACC000174,Transfer,23515.1,2024-08-24,Temporibus animi occaecati.,Mobile,False
TXN0000235,ACC000049,Withdrawal,25028.84,2024-08-05,Ullam minus et.,Online,False
TXN0000516,ACC000049,Deposit,15660.84,2024-07-04,,Online,False
TXN0000387,ACC000048,Withdrawal,36414.42,2024-05-08,Cum deserunt incidunt.,Mobile,False
TXN0000012,ACC000099,Deposit,18027.13,2023-07-14,Architecto in quas molestias.,Atm,False
TXN0000257,ACC000022,Withdrawal,108765.785,2024-11-12,In quam ipsam doloribus.,Atm,True
TXN0000375,ACC000260,Deposit,35221.36,2024-01-19,Aspernatur consequuntur libero dicta fugiat.,Mobile,False
